mes_compra,p_compra,mes_venta,p_venta,usd,pesos_final,ganancia,error_ganancia,error_ganancia_pct
Ene-2022,822.05,Feb-2022,807.07,1216.55,981751.82,-18248.18,144.86,0.79
Ene-2022,822.05,Mar-2022,799.19,1216.55,972019.46,-27980.54,290.21,1.04
Ene-2022,822.05,Abr-2022,815.12,1216.55,991484.18,-8515.82,206.27,2.42
Ene-2022,822.05,May-2022,849.39,1216.55,1032846.72,32846.72,537.06,1.64
Ene-2022,822.05,Jun-2022,857.77,1216.55,1043795.62,43795.62,343.37,0.78
Ene-2022,822.05,Jul-2022,953.71,1216.55,1160583.94,160583.94,423.50,0.26
Ene-2022,822.05,Ago-2022,904.35,1216.55,1099756.69,99756.69,492.52,0.49
Ene-2022,822.05,Sep-2022,921.01,1216.55,1120437.96,120437.96,80.31,0.07
Ene-2022,822.05,Oct-2022,955.89,1216.55,1163017.03,163017.03,204.57,0.13
Ene-2022,822.05,Nov-2022,917.05,1216.55,1115571.78,115571.78,128.68,0.11
Ene-2022,822.05,Dic-2022,875.66,1216.55,1065693.43,65693.43,478.61,0.73
Ene-2022,822.05,Ene-2023,826.34,1216.55,1004866.18,4866.18,474.57,9.75
Ene-2022,822.05,Feb-2023,798.26,1216.55,970802.92,-29197.08,375.25,1.29
Ene-2022,822.05,Mar-2023,809.50,1216.55,985401.46,-14598.54,668.58,4.58
Ene-2022,822.05,Abr-2023,803.84,1216.55,978102.19,-21897.81,254.18,1.16
Ene-2022,822.05,May-2023,798.64,1216.55,972019.46,-27980.54,497.28,1.78
Ene-2022,822.05,Jun-2023,799.87,1216.55,973236.01,-26763.99,217.37,0.81
Ene-2022,822.05,Jul-2023,813.40,1216.55,989051.09,-10948.91,546.54,4.99
Ene-2022,822.05,Ago-2023,855.66,1216.55,1041362.53,41362.53,477.13,1.15
Ene-2022,822.05,Sep-2023,884.40,1216.55,1075425.79,75425.79,551.81,0.73
Ene-2022,822.05,Oct-2023,926.35,1216.55,1126520.68,126520.68,494.15,0.39
Ene-2022,822.05,Nov-2023,886.61,1216.55,1079075.43,79075.43,540.29,0.68
